       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         1.15         0.00
            1         1000         1.15         0.87
            2         1000         1.14         1.75
            4         1000         1.16         3.46
            8         1000         1.16         6.88
           16         1000         1.15        13.86
           32         1000         1.18        27.14
           64         1000         1.28        50.19
          128         1000         1.39        91.88
          256         1000         1.76       145.73
          512         1000         1.93       264.91
         1024         1000         2.22       460.71
         2048         1000         2.80       730.34
         4096         1000         4.36       939.94
         8192         1000         5.67      1443.87
        16384         1000         7.90      2074.83
        32768         1000        12.32      2659.75
        65536          640        22.32      2935.71
       131072          320        35.22      3721.01
       262144          160        54.14      4842.18
       524288           80        99.74      5256.43
      1048576           40       192.55      5445.63
      2097152           20       374.08      5606.23
      4194304           10       746.54      5618.34
